trade_date,SG CTA Index,SG Trend Index,SG Trend Indicator,SG Short-Term Traders Index,SG Multi Alternative Risk Premia Index
1999-12-31, 1000.00, 1000.00, 1000.00,,
2000-01-03,  996.74,  997.20,  991.94,,
2000-01-04,  986.99,  970.67,  958.95,,
2000-01-05,  984.16,  962.13,  951.52,,
2000-01-06,  982.40,  953.47,  938.86,,
2000-01-07,  977.01,  944.03,  949.20,,
2000-01-10,  979.76,  951.21,  962.86,,
2000-01-11,  993.51,  974.23,  961.85,,
2000-01-12,  996.26,  979.59,  958.44,,
2000-01-13,  994.69,  977.14,  971.48,,
2000-01-14, 1004.34,  996.68,  994.32,,
2000-01-17, 1006.30,  999.67, 1001.33,,
2000-01-18, 1016.55, 1020.36, 1003.13,,
2000-01-19, 1013.43, 1017.91,  999.90,,
2000-01-20, 1012.97, 1015.78, 1001.88,,
2000-01-21, 1011.05, 1014.96, 1004.94,,
2000-01-24, 1011.85, 1011.01,  995.15,,
2000-01-25, 1011.66, 1011.11,  994.04,,
2000-01-26, 1006.94, 1001.10,  993.72,,
2000-01-27, 1014.62, 1012.01, 1009.30,,
2000-01-28, 1021.57, 1015.15,  985.46,,
2000-01-31, 1023.40, 1019.71,  985.25,,
2000-02-01, 1020.15, 1012.47,  980.80,,
2000-02-02, 1014.94,  999.51,  981.13,,
2000-02-03, 1001.28,  973.93,  967.49,,
2000-02-04, 1009.23,  991.07,  978.36,,
2000-02-07, 1018.07, 1004.25,  986.40,,
2000-02-08, 1010.88,  989.19,  983.79,,
2000-02-09, 1012.93,  992.55,  990.20,,
2000-02-10, 1019.91, 1009.12,  993.20,,
2000-02-11, 1018.21, 1002.36,  995.11,,
2000-02-14, 1021.49, 1006.57,  994.98,,
2000-02-15, 1018.61, 1002.04,  994.81,,
2000-02-16, 1018.82, 1004.55,  990.77,,
2000-02-17, 1022.52, 1007.86,  988.72,,
2000-02-18, 1025.44, 1010.99,  994.54,,
2000-02-21, 1023.75, 1006.74,  990.82,,
2000-02-22, 1011.68,  979.06,  955.33,,
2000-02-23, 1015.45,  987.87,  973.54,,
2000-02-24, 1014.47,  988.56,  982.87,,
2000-02-25, 1014.07,  989.35,  998.92,,
2000-02-28, 1008.87,  983.12, 1002.26,,
2000-02-29, 1015.45,  995.21, 1007.86,,
2000-03-01, 1006.53,  987.45, 1001.19,,
2000-03-02, 1011.97,  993.87, 1009.86,,
2000-03-03, 1012.94,  997.34, 1011.18,,
2000-03-06, 1015.30, 1002.53, 1018.31,,
2000-03-07, 1018.46, 1008.14, 1017.62,,
2000-03-08, 1007.25,  986.97, 1010.53,,
2000-03-09, 1000.99,  978.98,  996.77,,
2000-03-10, 1000.40,  979.76,  998.26,,
2000-03-13,  994.64,  968.79,  989.06,,
2000-03-14,  992.09,  963.07,  984.85,,
2000-03-15,  993.40,  961.53,  980.22,,
2000-03-16,  994.65,  963.07,  973.74,,
2000-03-17, 1000.73,  973.86,  983.32,,
2000-03-20,  995.21,  962.17,  981.61,,
2000-03-21, 1001.74,  974.58,  984.77,,
2000-03-22, 1002.68,  977.02,  990.10,,
2000-03-23,  997.72,  969.98,  987.32,,
2000-03-24,  989.91,  957.08,  982.57,,
2000-03-27,  988.93,  955.84,  983.41,,
2000-03-28,  989.39,  957.18,  976.69,,
2000-03-29,  991.21,  956.89,  979.39,,
2000-03-30,  985.02,  949.04,  976.21,,
2000-03-31,  996.41,  965.08,  979.50,,
2000-04-03,  989.51,  954.18,  977.16,,
2000-04-04,  984.14,  944.83,  976.64,,
